pair,x,y,z,offset,residue,data_number,baseline
S1W2,7.368501759103797,3.1837501379896187,6.938662468245096,10.610189440500003,[],1,10.610189440500005
S1W2,-69.09479847105135,199.33187216994895,0.4635039415998392,9.087509581333137,[2.49766814e-10],5,210.96801007365062
S1W2,-11.712925423602936,-1.105723306540523,-9.265083931064487,-14.975213729999993,[],1,14.975213729999993
S1W2,1.79398961369548,16.234072875023916,38.5823254594557,41.897008946999996,[],1,41.897008947
S1W2,-65.67190089501305,172.5141380297676,-43.52391589685263,58.92142802566426,[],3,189.65299270592706
S1W2,-108.2162425488386,31.53187860740263,30.986423209993426,16.040518024790806,[],2,116.8981306234187
S1W2,3.280805210942873,1.7112804763143517,9.623417787861218,10.310302304999997,[],1,10.310302304999999
S1W2,0.34475179008181556,8.809931600674824,30.66737541221504,31.909585758499983,[],1,31.909585758499986
S1W2,4.989559052301793,19.012401696304156,39.305670969538866,43.946591314500004,[],1,43.94659131449999
S1W2,2.2742405752155257,1.5939019043175666,11.321432931228482,11.657080984999999,[],1,11.657080984999999
S2E1,131.078963712474,272.351496975692,-6.537868919469503,-10.425186243737556,[1.80180919e-08],6,302.3239592934119
S2E1,130.7920676554181,272.43491799914597,-4.754471871803773,-12.212534210070913,[],3,302.2415499390523
S2E1,0.8475460902699155,-0.5169103122285021,-5.851184021529786,-5.934802869500002,[],1,5.934802869500002
S2E1,4.490764438959864,3.1473530413207946,22.35554538939304,23.018323268,[],1,23.018323268
S2E2,76.14043708817336,236.13330774689783,-3.427302445311966,-21.06924690760306,[1.58201198e-08],6,248.1291026653683
S2E2,17.025429058411145,-1.0392193832532057,12.618439347133105,15.320883863058572,[],2,21.217215253345493
S2W1,-169.32405615788107,182.73631320027232,-11.41444893042889,-24.66924787670048,[9.86811041e-10],6,249.3862181440078
S2W1,0.8595466656335766,7.381647944742091,15.619763878788847,17.2975307625,[],1,17.297530762499996
S2W1,-165.50938711374104,181.56172706299373,-35.546077365797885,-0.504730200913599,[],3,248.23686586193944
S2W2,-63.3441883814336,165.75447124649142,-0.16945687721667468,13.971388739860458,[2.82252255e-08],18,177.44593445762496
S2W2,5.281836412240615,6.698201033925387,21.84051276480139,23.447210725500003,[],1,23.447210725500003
S2W2,7.139302578679086,13.646229933136542,30.012207147734653,33.73309666449999,[],1,33.733096664499996
S2W2,2.0225822882966753,17.369610037951727,36.75455799171493,40.7024781205,[],1,40.7024781205
S2W2,-63.344658650945085,165.75371502412958,-0.16740998801689955,13.969080339572685,[1.55466889e-08],22,177.445393994911
S2W2,-63.34471225135066,165.75425676146787,-0.1657624149245578,13.96732028341782,[3.39221401e-09],7,177.44591762543098
S2W2,-63.043770318152156,165.65573516777152,-2.105553819880548,15.908498166978,[],3,177.2590559796345
S2W2,-2.6624712330803852,1.6238159224505353,18.380840069501573,18.643519326500005,[],1,18.6435193265
S2W2,-63.343566716075486,165.75556350009748,-0.1665345738791757,13.969433945104555,[2.16675769e-09],11,177.44673006092012
S2W2,-74.46956632683802,148.43238755890732,-22.853787746988324,42.62693819104343,[],3,167.63109973906808
S2W2,6.806201769111704,2.9407940080657755,6.409164075762217,9.800512031000002,[],1,9.800512031000002
S2W2,-63.34656910367196,165.75237235872726,-0.1722337730383856,13.974046299216042,[1.18014382e-09],5,177.44482642282088
S2W2,-9.169149886765315,-0.8655858689691166,-7.252922750297786,-11.722944892999992,[],1,11.722944892999992
S2W2,-94.89670628627093,28.028242697352145,28.85598272095644,15.783439754077378,[],2,103.07101916385898
